truck_state,load,decision,decision_score,outcome,future_state,regret,timestamp
"{'fuel_percent': 20, 'time_left_hours': 5.1, 'capacity_left_tons': 8}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 2973}",ACCEPT,-5.77,"{'actual_profit_inr': 2763, 'delay_hours': 0.53, 'fuel_used_percent': 5}","{'time_left_hours': 4.5, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 60, 'time_left_hours': 3.6, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 0.6, 'profit_inr': 2636}",ACCEPT,18.93,"{'actual_profit_inr': 2345, 'delay_hours': 1.14, 'fuel_used_percent': 11}","{'time_left_hours': 3.0, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 74, 'time_left_hours': 2.9, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 642}",REJECT,-13.88,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.2999999999999998, 'capacity_left_tons': -2}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 34, 'time_left_hours': 4.8, 'capacity_left_tons': 8}","{'load_weight_tons': 1, 'additional_time_hours': 0.8, 'profit_inr': 1791}",ACCEPT,15.47,"{'actual_profit_inr': 1597, 'delay_hours': 0.94, 'fuel_used_percent': 7}","{'time_left_hours': 4.0, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 37, 'time_left_hours': 2.3, 'capacity_left_tons': 9}","{'load_weight_tons': 1, 'additional_time_hours': 1.6, 'profit_inr': 1098}",REJECT,-0.81,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 0.6999999999999997, 'capacity_left_tons': 8}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 51, 'time_left_hours': 5.3, 'capacity_left_tons': 9}","{'load_weight_tons': 2, 'additional_time_hours': 1.3, 'profit_inr': 2213}",REJECT,2.34,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.0, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 71, 'time_left_hours': 3.0, 'capacity_left_tons': 7}","{'load_weight_tons': 1, 'additional_time_hours': 1.5, 'profit_inr': 2480}",ACCEPT,14.15,"{'actual_profit_inr': 2260, 'delay_hours': 0.7, 'fuel_used_percent': 11}","{'time_left_hours': 1.5, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 77, 'time_left_hours': 4.8, 'capacity_left_tons': 7}","{'load_weight_tons': 3, 'additional_time_hours': 2.0, 'profit_inr': 2775}",REJECT,-9.82,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.8, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 46, 'time_left_hours': 3.6, 'capacity_left_tons': 10}","{'load_weight_tons': 1, 'additional_time_hours': 0.7, 'profit_inr': 634}",ACCEPT,22.86,"{'actual_profit_inr': 449, 'delay_hours': 0.81, 'fuel_used_percent': 14}","{'time_left_hours': 2.9000000000000004, 'capacity_left_tons': 9}",0,2026-02-01T02:45:41.991088
"{'fuel_percent': 26, 'time_left_hours': 4.8, 'capacity_left_tons': 5}","{'load_weight_tons': 3, 'additional_time_hours': 0.5, 'profit_inr': 1708}",ACCEPT,9.56,"{'actual_profit_inr': 1665, 'delay_hours': 0.21, 'fuel_used_percent': 13}","{'time_left_hours': 4.3, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.991088
